time;no calibration;calibration with FGL;calibration without FGL;simple feedback calibration;
8.4;-0.812976351300266;-1.63797728235724;-3.38863204506126;-26.877750352917;
8.45;-0.83164094809467;-1.65664338316034;-3.40729913153128;-26.8974435272587;
8.5;-0.857579421785587;-1.68258871346554;-3.43324501431211;-26.92446551749;
8.55;-0.931910483380307;-1.75691668748836;-3.50757633864289;-27.0000116204188;
8.6;-0.8856695385508;-1.71067038671972;-3.46133158371813;-26.9549382546189;
8.65;-0.90686616299332;-1.73186850630222;-3.48252790602551;-26.9773056549914;
8.7;-0.90320875845528;-1.72820944097506;-3.47886900548355;-26.9748225446276;
8.75;-0.899362031161361;-1.7243627711641;-3.47502260842067;-26.97213668167;
8.8;-0.878741103656954;-1.70373930774635;-3.45440532562634;-26.952634208256;
8.85;-0.881331018147881;-1.70633116390224;-3.45699839878398;-26.9563387180173;
8.9;-0.870256355662185;-1.69524906643066;-3.44591782243455;-26.9463465318535;
8.95;-0.881492636474835;-1.70648809648775;-3.45715440731779;-26.9586831295094;
9;-0.893321279134407;-1.71832166300311;-3.4689892880216;-26.9716396606232;
9.05;-0.886397734783521;-1.71139393742522;-3.46206458539275;-26.965830413037;
9.1;-0.89171198325603;-1.71670699936605;-3.46737457632423;-26.9722597172288;
9.15;-0.873259416578094;-1.69825700153175;-3.44892375468647;-26.9548952832191;
9.2;-0.878752095023318;-1.70375431594086;-3.45442171191606;-26.9614744923101;
9.25;-0.874249886022414;-1.6992545699444;-3.44991712804327;-26.9580521582187;
9.3;-0.873010446595108;-1.69801905043243;-3.4486793189083;-26.957889117427;
9.35;-0.875553402310087;-1.70055668613501;-3.4512152237376;-26.9615025066409;
9.4;-0.890822619431231;-1.71582559223134;-3.46648391961316;-26.9778733165263;
9.45;-0.907922584518595;-1.73292756086368;-3.48358454503747;-26.9961120586111;
9.5;-0.920523626529732;-1.74552752131499;-3.49618730542617;-27.0098723356394;
9.55;-0.933687631757843;-1.75869118920436;-3.50934787183744;-27.024217111716;
9.6;-0.929568023155878;-1.75457349771806;-3.50522878284473;-27.021275551099;
9.65;-0.954412032587996;-1.77941664796171;-3.53007344884766;-27.0473292043189;
9.7;-0.967859060837241;-1.79286850925757;-3.54352532644679;-27.0620214259402;
9.75;-0.972048230211242;-1.79705472360677;-3.54771465622431;-27.067456012932;
9.8;-0.984542004713058;-1.80954605545658;-3.56020685223282;-27.0812079785457;
9.85;-0.98378794610309;-1.80924047000251;-3.55990461857357;-25.2612409808949;
9.9;-0.99520105238401;-1.69312725693485;-3.5795503142197;-23.4107843954844;
9.95;-1.03438844893294;-1.51747808920281;-3.64451593207554;-22.1783063042151;
10;-1.03444030696127;-1.39872069627491;-3.68577279116348;-21.2989229977391;
10.05;-1.03670105826516;-1.34767012704888;-3.74031995211384;-20.71552794502;
10.1;-0.995389962774055;-1.26978797009088;-3.35440109650146;-20.2902194616961;
10.15;-1.0331110608977;-1.28204812795715;-2.57378848425366;-20.1140829817222;
10.2;-1.01503826903799;-1.2421429332814;-1.85726460130305;-20.0090047284746;
10.25;-1.04002489919963;-1.25239138241925;-1.34998757529781;-20.0596406912822;
10.3;-1.0082369849133;-1.20327273899021;-0.905199258595551;-20.1279253939635;
10.35;-1.0361754465452;-1.21676721632712;-0.618346660892329;-20.3214676778434;
10.4;-1.01474089980233;-1.18082695608078;-0.361564258897766;-20.5122666387145;
10.45;-1.02933411146969;-1.17926775461927;-0.208026544003211;-20.7700330948806;
10.5;-1.03980455389576;-1.17078636338324;-0.106725058189999;-21.0369729937151;
10.55;-1.08370118558281;-1.22762251890295;-0.120885090075299;-21.4224735034304;
10.6;-0.895536128426475;-1.04113318881407;0.0666432459386339;-21.5915249136636;
10.65;-0.884466382717261;-1.00030651337107;0.0721822875995682;-21.8983030066931;
10.7;-0.947501353051006;-1.03980715340753;-0.0347741322045082;-22.2800953480221;
10.75;-0.942276329691938;-1.01244987568593;-0.102585142205167;-22.5810267017106;
10.8;-0.993197053850439;-1.08489175816584;-0.294030856677824;-23.0310061491072;
10.85;-0.723417998794755;-0.818006589463074;-0.166199234617233;-23.1580228591733;
10.9;-0.73273427482636;-0.790743608892324;-0.295850713776683;-23.5011278088377;
10.95;-0.803720843334027;-0.817346190927203;-0.494807118772255;-23.8552878326934;
11;-0.919349280795248;-0.910661152365722;-0.773484213798009;-24.2546511260923;
11.05;-0.916510138365209;-0.901580155540072;-0.960582522714926;-24.5439072716729;
11.1;-0.91037938035373;-0.89032045784566;-1.15344121380255;-24.8231691579911;
11.15;-0.911074363777431;-0.871762413244742;-1.33730076607806;-25.0652197141406;
11.2;-1.00879592574787;-0.964295843837214;-1.62501004585616;-25.4050550359315;
11.25;-0.97693629961713;-0.932228901449978;-1.78685383462779;-25.6061257644399;
11.3;-1.00177433085588;-0.961585989653401;-2.00924939536555;-25.8653789129784;
11.35;-0.957451821052613;-0.920058930902944;-2.15820142959107;-26.046401610078;
11.4;-0.956029248252867;-0.914029503983752;-2.33848642620927;-26.2484856187424;
11.45;-0.965155218613116;-0.920828780991122;-2.52558895296157;-26.4502379213157;
11.5;-0.949948868316372;-0.90075224019377;-2.67777664156647;-26.6063171400001;
11.55;-0.963620027063745;-0.909155616380911;-2.84872269085467;-26.7709650397008;
11.6;-0.961157173444354;-0.901278265602985;-2.99185898206789;-26.8975648715069;
11.65;-0.970345765102485;-0.904347817037007;-3.13357637242309;-27.0126955183308;
11.7;-0.979444172322133;-0.912164286624369;-3.26616038548566;-27.1150450651782;
11.75;-0.956688104702886;-0.88427841721149;-3.34744292994992;-27.1577483830869;
11.8;-0.974399537426829;-0.896329312212817;-3.45172591069515;-27.2160309857079;
11.85;-0.968603475794544;-0.886493033412455;-3.51545682220802;-27.2284589022361;
11.9;-0.965122561703331;-0.878372292510515;-3.56066501007102;-27.2165056954957;
11.95;-0.959888871531733;-0.866276942969635;-3.58081767864763;-27.1730960240463;
12;-0.968399036540167;-0.865320517376622;-3.59176275716028;-27.1113185204896;
12.05;-0.989275772410545;-0.877923487981362;-3.59528278872566;-27.0328709650744;
12.1;-1.00181982557567;-0.883545825727629;-3.56923098609862;-26.9163481098441;
